mu_b,mu_ex
-1,0.215695706
-0.75,0.260095706
-0.5,0.306315706
-0.25,0.356595706
0,0.428645706
0.25,0.527495706
0.5,0.608425706
0.75,0.706445706
1,0.819305706
1.25,0.937555706
1.5,1.079775706
1.75,1.216205706
2,1.366065706
2.25,1.525385706
2.5,1.694055706
2.75,1.870585706
3,2.043385706
3.25,2.234015706
3.5,2.424705706
3.75,2.610675706
4,2.807735706
4.25,3.002105706
4.5,3.188985706
4.75,3.407375706
5,3.591835706
5.25,3.780855706
5.5,3.995235706
5.75,4.194965706
6,4.418725706
